,image,locus,locus_subtype,feature_type_name,feature_subtype_name,notes
516,image: locus_16927.tif,locus_type_name: Unfortified settlement(4 - High Confidence),locus_subtype_name: Isolated structure(4 - High Confidence),feature_type_name: Ambiguous / unclear,feature_subtype_name: NULL,"notes: The image shows a visible pattern of contour terracing, likely used for agricultural purposes. The terracing appears unfaced, with natural earth outlines. No distinct architectural features are apparent, but possible remnants of larger structures suggest a ceremonial purpose. The overall landscape suggests historical modification for farming or ritualistic activities."
517,image: locus_9110.tif,locus_type_name: Agropastoral Infrastructure(4 - High Confidence),locus_subtype_name: Stone faced contour terraces(4 - High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image exhibits a series of parallel lines consistent with furrowed agricultural fields, indicating possible use for crop cultivation. Features resembling domestic architecture are unclear, but there might be some rectangular patterns that suggest human alteration or construction."
518,image: locus_14165.tif,locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Estancia(2 - Low Confidence),feature_type_name: Plaza/patio,feature_subtype_name: Patio,"notes: The image displays a single isolated structure with surrounding paths and faint boundary lines, suggesting use as a small farm or residence. The structure appears to be maintained and possibly used for domestic purposes. There is minimal evidence of extensive agricultural modifications or terracing."
519,image: locus_26006.tif,locus_type_name: Agropastoral Infrastructure(4 - High Confidence),locus_subtype_name: Segmented terracing(4 - High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows a pattern of segmented terracing which is typical of agricultural modification. The presence of rectangular shadows suggests areas possibly used for domestic purposes or storage. The structures appear to be arranged along the terraces, possibly indicating habitation or activity zones related to agriculture."
520,image: locus_20989.tif,locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Corral,feature_subtype_name: NA,"notes: The image displays a distinct enclosing structure adjacent to a reservoir-like water body. The surrounding area shows a potential space for ceremonial gatherings or public usage, indicated by the proximity to water and surrounding land features. Vegetation patterns suggest managed land possibly used for communal activities. The water body’s edges appear man-made, supporting the presence of a reservoir."
521,image: locus_6048.tif,locus_type_name: Patio;locus_type_name: Unfortified settlement(2 - Low Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Plaza/patio,feature_subtype_name: Patio,"notes: The image shows a series of circular and possibly segmented enclosures, indicative of a corral complex. There are visible separations, suggesting multiple sections within the main area. The configurations suggest the structures could be used for domestic animals. Details of walls and their arrangement contribute to identifying it primarily as a corral. The faint trails leading to the area could imply access for grazing purposes."
522,image: locus_28295.tif,locus_type_name: Unfortified settlement(4 - High Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Corral,feature_subtype_name: NA,"notes: The image shows an isolated, likely quadrangular structure with visible straight walls, possibly indicating domestic architecture. Surrounding the structure is an open, unoccupied terrain, suggesting it might have been used for habitation or storage. There is no indication of additional features such as corrals or significant terracing."
523,image: locus_19064.tif,locus_type_name: Agropastoral Infrastructure(4 - High Confidence),locus_subtype_name: Corral(4 - High Confidence),feature_type_name: Corral,feature_subtype_name: NULL,"notes: The image shows a circular structure that appears to function as a corral. The surrounding area is dotted with small vegetation and minimal apparent development. This suggests it might be used for grazing or animal husbandry, typical of corral complexes."
524,image: locus_28771.tif,locus_type_name: Agropastoral Infrastructure(3 - Medium Confidence),locus_subtype_name: Stone faced contour terraces(2 - Low Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows a landscape with sloping fields that are divided into different sections, possibly for varied agricultural purposes. There are a few scattered structures, likely residential, near the center and upper parts of the image. A road or pathway is visible on the right, suggesting access to the area for farming or settlement activities."
525,image: locus_8088.tif,locus_type_name: Agropastoral Infrastructure(5 - Very High Confidence),locus_subtype_name: Corral(5 - Very High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows circular formations that suggest the presence of several corral structures. These formations are scattered across the area, with visible boundaries indicating enclosure areas typical of livestock management."
526,image: locus_9770.tif,locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows a distinct elevated circular structure that suggests a hilltop shrine. The surrounding terrain appears rugged with possible pathways leading to the top, indicating ceremonial significance. The circular feature is prominent and may have historical or cultural importance. Vegetation and terrain suggest limited modern disturbance."
527,image: locus_42058.tif,locus_type_name: Agropastoral Infrastructure(5 - Very High Confidence),locus_subtype_name: Stone faced contour terraces(5 - Very High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image appears to show an area with gently sloping terrain, potentially used for agriculture. The pattern suggests some organization that may be indicative of cultivation, but distinguishing specific structures is challenging due to vegetation cover and resolution."
528,image: locus_21301.tif,locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows a cluster of enclosed spaces that appear rectangular, indicative of corral-type structures. The arrangement suggests they may have been used for livestock management, as similar layouts are often observed in pastoral settings. There is no visible indication of residential or ceremonial architecture, focusing on functional animal holding areas."
529,image: locus_12992.tif,locus_type_name: Agropastoral Infrastructure(2 - Low Confidence),locus_subtype_name: Stone faced contour terraces(2 - Low Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image showcases a primarily natural terrain with subtle indications of terracing, suggesting sloping fields potentially used for agriculture. The presence of linear marks indicates possible domestic structures amidst the landscape. The overall layout lacks distinct and large architectural features but hints at minor modifications for habitation or agricultural use."
530,image: locus_10117.tif,locus_type_name: Agropastoral Infrastructure(4 - High Confidence),locus_subtype_name: Stone faced contour terraces(4 - High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows a series of contour lines indicating possible terracing. There are faint outlines resembling corrals or enclosed areas, likely used for pastoral activities. The terracing is not well-defined, suggesting an unfaced earthen technique. The corral structures are less prominent, which slightly reduces confidence in the feature classification."
531,image: locus_25648.tif,locus_type_name: Unfortified settlement(4 - High Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,notes: The image shows a pair of rectangular structures that appear to have straight walls. These structures seem to be isolated without any other significant features immediately surrounding them. The terrain indicates they might be part of an older settlement or specific residential use. There are no visible signs of terracing or agricultural modifications in the proximity of these structures.
532,image: locus_18911.tif,locus_type_name: Agropastoral Infrastructure(4 - High Confidence),locus_subtype_name: Stone faced contour terraces(4 - High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image predominantly shows an area with densely packed furrows, indicative of cultivated fields. There’s a clear pattern that suggests current or historical agricultural activity with contour alignment possibly aiding in water management. No distinct architectural features like corrals or domestic structures are visible."
533,image: locus_8898.tif,locus_type_name: Unfortified settlement(4 - High Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows a grouping of structures that resemble a corral complex, with distinct enclosed areas likely used for livestock. The spatial arrangement suggests organized sections typical of pasture management. The presence of barriers indicates controlled entry and exit points. The clarity of the structures and lack of overlap with other land use suggests a primarily livestock function."
534,image: locus_9354.tif,locus_type_name: 5 - Very High Confidence;locus_type_name: Agropastoral Infrastructure(5 - Very High Confidence),locus_subtype_name: Corral(5 - Very High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure;locus_type_name: Agropastoral Infrastructure,"notes: The image shows a distinct pattern of raised and sunken areas consistent with Waru Waru agriculture. The apparent ridges could also suggest ceremonial pathways or boundaries commonly associated with such agriculture. However, lack of clear architectural structures reduces the confidence in the feature classification."
535,image: locus_25449.tif,locus_type_name: Agropastoral Infrastructure(4 - High Confidence),locus_subtype_name: Segmented terracing(3 - Medium Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image displays patterning indicative of furrowed fields with linear divisions suggesting agricultural use. The terrain shows characteristics of being altered for cultivation, with potential domestic structures interspersed amid the fields. There is also evidence of segmentation indicating organized agricultural planning."
536,image: locus_24223.tif,locus_type_name: Agropastoral Infrastructure(3 - Medium Confidence),locus_subtype_name: Segmented terracing(2 - Low Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows a network of water channels intersecting the terrain, suggesting a sophisticated irrigation system characteristic of a second order canal. Near the upper left, there are small, possibly domestic structures indicating habitation alongside the canal. The presence of water management features alongside potential residential structures suggests a community reliant on agriculture. Vegetation patterns around the canal appear irrigated, supporting its use in agricultural enhancement."
537,image: locus_11335.tif,locus_type_name: Agropastoral Infrastructure(5 - Very High Confidence),locus_subtype_name: Corral(5 - Very High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows a terrain with a potentially sloping gradient suggesting agricultural activities. Patterns resembling furrows or terraces indicate possible historical land management. No distinct structures are visible, so the classification is based on texture and patterns of the terrain."
538,image: locus_11174.tif,locus_type_name: Unfortified settlement(5 - Very High Confidence),locus_subtype_name: Estancia(5 - Very High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows a singular rectangular structure in an open landscape, potentially indicating a standalone habitation or storage. The surrounding terrain appears undisturbed, suggesting limited agricultural activity. The structure’s layout and position may imply historical use for domestic activities."
539,image: locus_42063.tif,locus_type_name: Residential structure;locus_type_name: Unfortified settlement(5 - Very High Confidence),locus_subtype_name: Isolated structure(5 - Very High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows distinct furrow patterns across a large portion of the landscape. There are several rectangular and irregular fields. Some structures are slightly visible, but more data is needed to ascertain detailed architectural features. The clarity in furrow representation is high, suggesting active or historical agricultural use."
540,image: locus_26394.tif,locus_type_name: 3 - Medium Confidence;locus_type_name: Unfortified settlement(4 - High Confidence),locus_subtype_name: Estancia(3 - Medium Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows a central cluster of structures indicative of a settlement, with surrounding fields suggesting agricultural use. The structures appear to be partially enclosed, which is characteristic of domestic architecture. The pattern of the fields and the layout suggests organized habitation and agricultural planning typical of a permanent or semi-permanent settlement."
541,image: locus_28122.tif,locus_type_name: Unfortified settlement(2 - Low Confidence),locus_subtype_name: Estancia(3 - Medium Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image appears to show a series of enclosed spaces characteristic of a corral complex. There are distinct outlines of walls, and the placement suggests a grazing area, possibly for livestock management. The clear visibility of these features despite the grayscale nature of the image increases confidence in this classification."
542,image: locus_13543.tif,locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows a clearly defined quadrangular structure near a road. Surrounding terrain appears to be natural vegetation with no significant signs of other agricultural modifications. The structure seems isolated, suggesting a domestic use possibly related to farming activities in the region."
543,image: locus_11555.tif,locus_type_name: Unfortified settlement(5 - Very High Confidence),locus_subtype_name: Estancia(5 - Very High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows distinct sections of terracing that appear to be segmented, possibly for agricultural purposes. There are also some circular and rectangular patterns that might suggest the presence of corral structures. The terracing is visible on the left side of the image, while the circular patterns are scattered across the image."
544,image: locus_25663.tif,locus_type_name: Agropastoral Infrastructure(3 - Medium Confidence),locus_subtype_name: Corral(4 - High Confidence),feature_type_name: Corral,feature_subtype_name: NULL,"notes: The image displays areas with furrow-like patterns that suggest agricultural activity on sloped terrains. Some indistinct structures are visible, possibly indicating domestic or residential use amidst cultivated fields. The overall layout suggests adaptation to the natural terrain for optimized land use."
545,image: locus_29687.tif,locus_type_name: Agropastoral Infrastructure(2 - Low Confidence),locus_subtype_name: Corral(3 - Medium Confidence),feature_type_name: Corral,feature_subtype_name: NULL,notes: The image shows a circular structure that resembles a corral. This could be indicative of an area used for livestock. The structure appears relatively isolated but distinct in the surrounding terrain.
546,image: locus_4773.tif,locus_type_name: Unfortified settlement(4 - High Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,notes: The image shows a complex of circular and rectangular enclosures that are likely used as animal corrals. The pattern of enclosures suggests a system of management and possibly segregation of different livestock. The presence of visible animal paths might indicate regular movement through this area.
547,image: locus_11320.tif,locus_type_name: 5 - Very High Confidence;locus_type_name: Agropastoral Infrastructure(5 - Very High Confidence),locus_subtype_name: Corral(5 - Very High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows a broad area with subtle variations in texture and shading, indicative of sloping fields. There is minimal evidence of structured features, suggesting limited human-modified architecture. No distinct patterns or structures like corrals are visible, pointing towards a primarily agricultural or natural landscape."
548,image: locus_29092.tif,locus_type_name: Unfortified settlement(4 - High Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows outlines of circular and possibly quadrangular structures, suggesting a corral complex. The arrangement appears to include some residential structures alongside grazing areas. The presence of faint lines might indicate pathways or boundaries, characteristic of domestic architecture."
549,image: locus_23347.tif,locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Estancia(3 - Medium Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows circular features that indicate a complex of corrals. The structures appear to be situated on slightly elevated terrain, which is common for managing livestock. The presence of central enclosed areas suggests use for animal containment."
550,image: locus_13212.tif,locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows a cluster of structures which could represent a small settlement. There are visible outlines suggesting human-made formations possibly used for domestic purposes. The pattern of the structures does not seem highly organized, hinting at a possibly informal settlement. The pathway appears to cut through the area, which is common in historical settlement layouts."
551,image: locus_6857.tif,locus_type_name: Corral;locus_type_name: Unfortified settlement,locus_subtype_name: Estancia,feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows a circular or polygonal structure that likely represents a corral. The outline is faint but discernible, suggesting it may be an older or less pronounced construction. The surrounding area appears mostly featureless, indicating the corral might be isolated."
552,image: locus_15527.tif,locus_type_name: 5 - Very High Confidence;locus_type_name: Agropastoral Infrastructure(5 - Very High Confidence),locus_subtype_name: Corral(5 - Very High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows a series of contour lines indicative of segmented terracing. There are hints of rectangular structures that may suggest domestic architecture. The terracing seems to be well-defined, which contributes to the higher confidence in this locus classification."
553,image: locus_23521.tif,locus_type_name: Unfortified settlement(4 - High Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows a circular enclosed area that is characteristic of a corral. The boundaries are distinct which suggests usage for animal containment. The surrounding terrain shows signs of paths or tracks possibly used for guiding livestock. The image lacks visible residential structures or complex agricultural terraces, reinforcing the corral classification."
554,image: locus_20238.tif,locus_type_name: Residential structure;locus_type_name: Unfortified settlement(5 - Very High Confidence),locus_subtype_name: Estancia(5 - Very High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image displays several circular patterns which appear to be remnants of corral structures. The arrangement suggests they may have been used for containing livestock. The presence of straight lines could indicate remnants of boundaries or enclosures, common in historic grazing regions. The terrain is relatively flat with sparse vegetation, typical of grazing areas."
555,image: locus_9289.tif,locus_type_name: 4 - High Confidence;locus_type_name: Agropastoral Infrastructure(4 - High Confidence),locus_subtype_name: Stone faced contour terraces(4 - High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows a clear pattern of furrows typical of cropland preparation, suggesting agricultural activity. There is some indication of domestic structures nearby, but these are less distinct. The furrows are straight and evenly spaced, reflecting organized crop cultivation methods."
556,image: locus_16027.tif,locus_type_name: 4 - High Confidence;locus_type_name: Agropastoral Infrastructure(4 - High Confidence),locus_subtype_name: Stone faced contour terraces(4 - High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows a clearly defined pattern of furrows, likely used for crop cultivation, indicating agricultural activity. There may be signs of domestic architecture, but further investigation is needed to confirm residential presence."
557,image: locus_29015.tif,locus_type_name: Agropastoral Infrastructure(5 - Very High Confidence),locus_subtype_name: Corral(5 - Very High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows terracing with prominent stonework, possibly indicating ancient agricultural practices. There are no distinct structures visible, suggesting usage for farming rather than residential purposes. The overall pattern is consistent with contour terracing adapted to the landscape."
558,image: locus_21612.tif,locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Estancia(3 - Medium Confidence),feature_type_name: Plaza/patio,feature_subtype_name: Patio,"notes: The image shows several circular and rectangular outlines indicative of corrals. The structures appear to be arranged loosely with some visible furrows or paths intersecting them, suggesting a grazing area. There is a notable ridge along the upper portion of the image, perhaps serving as a natural boundary."
559,image: locus_11808.tif,locus_type_name: Corral;locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Corral,feature_subtype_name: NA,"notes: The image shows a well-defined circular structure possibly used as a corral. Multiple circular and linear formations are visible, suggesting a complex of interconnected corrals. The terrain shows signs of erosion or paths which may have been used by livestock."
560,image: locus_4489.tif,locus_type_name: Agropastoral Infrastructure(4 - High Confidence),locus_subtype_name: Segmented terracing(4 - High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows a large body of water that appears to be man-made, potentially serving as a reservoir. Surrounding the water, there are faint signs of organized structures that might be indicative of public use, possibly for ceremonial purposes. The area is largely uniform with little elevation variation, intermittently showing straight lines and wall-like formations."
561,image: locus_25215.tif,locus_type_name: Unfortified settlement(4 - High Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows patterns consistent with unfaced earthen contour terracing, suggesting agricultural practices adapted to the landscape. Slight variations in texture might indicate some insignificant structural features, possibly representing remnants of domestic structures."
562,image: locus_8209.tif,locus_type_name: Unfortified settlement(5 - Very High Confidence),locus_subtype_name: Estancia(5 - Very High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,notes: The image shows a large corral structure with distinct boundary features suggestive of livestock enclosures. The surrounding terrain appears slightly undulating with possible pathways leading to and from the corral. Other smaller circular forms can be associated with secondary enclosures or natural features.
563,image: locus_14120.tif,locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Corral,feature_subtype_name: NA,"notes: The image shows a landscape with some rectangular outlines indicating possible small farming plots. There are faint structures that could represent domestic units, but the visibility is limited, making it difficult to discern specifics. The terrain appears slightly terraced or segmented, suggesting past agricultural activity."
564,image: locus_24342.tif,locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows a quadrangular structure, possibly indicating a corral or enclosure. The presence of straight, defined edges in the middle of an open area suggests a human-made feature. There is also a path or canal feature visible running along the side, which may be used for access or irrigation."
565,image: locus_21787.tif,locus_type_name: Agropastoral Infrastructure(3 - Medium Confidence),locus_subtype_name: Corral(3 - Medium Confidence),feature_type_name: Corral,feature_subtype_name: NULL,"notes: The image shows a circular pattern of structures that resemble enclosures typically used for livestock, indicating a possible corral complex. The layout suggests a focus on containment, which is consistent with traditional uses of corral structures."
566,image: locus_19514.tif,locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows scattered structures with possible rectangular configurations suggesting residential use, possibly a settlement. Visible features include fragmented wall patterns and some concentration of structures indicating organized domestic architecture."
567,image: locus_6615.tif,locus_type_name: Agropastoral Infrastructure(4 - High Confidence),locus_subtype_name: Corral(4 - High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows an oval-shaped structure resembling a corral, surrounded by a slightly elevated area. There are several smaller, scattered features indicative of possible auxiliary structures or small animal pens. The texture of the surrounding terrain suggests a grazing area."
568,image: locus_6708.tif,locus_type_name: Agropastoral Infrastructure(4 - High Confidence),locus_subtype_name: Corral(4 - High Confidence),feature_type_name: Corral,feature_subtype_name: NULL,"notes: The image displays a series of terraces that appear to be stone-faced. The terracing pattern is clearly visible and likely used for agricultural purposes. There are small, faint structures near the terrace edges which might indicate domestic use or residences."
569,image: locus_29709.tif,locus_type_name: Unfortified settlement(5 - Very High Confidence),locus_subtype_name: Estancia(5 - Very High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows a densely packed area with what appears to be several circular structures, consistent with a corral complex. The arrangement and density suggest possible domestic use, though the structures are not distinctly residential."
570,image: locus_15194.tif,locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows circular and possibly rectangular formations that indicate corral structures. These formations are seen amidst an open area, suggesting a space used for livestock or grazing. There are discernible boundaries that might indicate divisions within the corral system. The formations are faint but discernible, suggesting weathering or erosion over time."
571,image: locus_10472.tif,locus_type_name: Agropastoral Infrastructure(4 - High Confidence),locus_subtype_name: Stone faced contour terraces(4 - High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows a pattern of circular and semicircular formations indicative of unfaced earthen contour terracing. The terracing appears to follow the natural contours of the landscape, suggesting agricultural purposes. There is potential evidence of smaller domestic structures integrated into the landscape, though these are not clearly defined."
572,image: locus_16052.tif,locus_type_name: Unfortified settlement(5 - Very High Confidence),locus_subtype_name: Estancia(5 - Very High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows a distinct circular enclosure typical of a corral. The surrounding area is relatively barren, suggesting a grazing or animal management area."
573,image: locus_18439.tif,locus_type_name: Unfortified settlement(4 - High Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Corral,feature_subtype_name: NA,"notes: The image reveals a circular structure likely used for enclosing livestock, consistent with corral complexes. This is evident from the distinct dark patches that form a circular pattern. The surrounding terrain appears undisturbed, suggesting the area is dedicated to animal husbandry. The absence of significant architectural features suggests a pastoral use rather than residential."
574,image: locus_16394.tif,locus_type_name: Unfortified settlement(5 - Very High Confidence),locus_subtype_name: Estancia(5 - Very High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows a large area with subtle terracing visible, likely indicating modifications for water management. There is an irregular depression in the landscape suggesting a reservoir used for agricultural purposes. Sparse domestic structures appear on the periphery, indicating possible historical habitation related to water use."
575,image: locus_676.tif,locus_type_name: Agropastoral Infrastructure(3 - Medium Confidence),locus_subtype_name: Corral(4 - High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows a single, prominently outlined structure in an otherwise open terrain, suggesting an isolated structure. The shape and positioning may indicate domestic architecture, potentially a standalone residence or small unit. The surroundings appear relatively undisturbed, with minimal additional features visible, indicating limited human activity or development around the structure."
576,image: locus_28807.tif,locus_type_name: Agropastoral Infrastructure(3 - Medium Confidence),locus_subtype_name: Corral(3 - Medium Confidence),feature_type_name: Corral,feature_subtype_name: NULL,"notes: The image shows a circular formation suggestive of a corral. The boundaries appear distinct and likely used for containing animals. The surrounding area has minimal additional structures, and the terrain is mostly undisturbed."
577,image: locus_11689.tif,locus_type_name: Agropastoral Infrastructure(4 - High Confidence),locus_subtype_name: Unfaced earthen contour terracing(4 - High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image displays a series of linear patterns resembling furrows, indicative of agricultural activity. These furrows are evenly spaced, suggesting organized cultivation. There are no discernible structures or features that align with ceremonial or residential architecture, hence the lack of a feature label."
578,image: locus_7466.tif,locus_type_name: Unfortified settlement(4 - High Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows distinct oval formations which resemble corrals. These structures are likely used for containing livestock, possibly indicating grazing purposes. The surrounding area is sparsely developed, suggesting an agricultural or pastoral use of the land. The visibility of the oval formations is partially obscured by cloud cover."
579,image: locus_10741.tif,locus_type_name: 5 - Very High Confidence;locus_type_name: Agropastoral Infrastructure(5 - Very High Confidence),locus_subtype_name: Corral(5 - Very High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image reveals a singular, rectangular structure that could potentially be an isolated residential building. There appears to be some variation in the surrounding terrain, which may indicate human intervention or usage. The visibility of the structure's outline suggests possible habitation or usage in a domestic capacity."
580,image: locus_27886.tif,locus_type_name: 5 - Very High Confidence;locus_type_name: Agropastoral Infrastructure(5 - Very High Confidence),locus_subtype_name: Waru Waru(5 - Very High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows a network of lines suggesting the presence of furrowed crop fields. There are also some indications of linear patterns, possibly related to agricultural activities. The presence of structures is not prominent, but there could be low-lying domestic architecture along the furrows."
581,image: locus_11737.tif,locus_type_name: Agropastoral Infrastructure(3 - Medium Confidence),locus_subtype_name: Corral(4 - High Confidence),feature_type_name: Corral,feature_subtype_name: NULL,"notes: The image shows a circular structure suggestive of animal enclosures, typical of a corral. The surrounding terrain seems to contain traces of residential units that might be used for domestic purposes, possibly indicative of a settlement area alongside. The presence of these structures suggests integration of living spaces with animal husbandry practices."
582,image: locus_6330.tif,locus_type_name: Unfortified settlement(4 - High Confidence),locus_subtype_name: Estancia(4 - High Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,"notes: The image shows a sparse area with indistinct lines that could indicate individual buildings or structures spread across the terrain. The paths are visible, suggesting some level of infrastructure or transit. However, there are no clear signs of concentrated settlement, and the structures appear to be isolated with no distinct pattern of residential clusters."
583,image: locus_11854.tif,locus_type_name: Unfortified settlement(3 - Medium Confidence),locus_subtype_name: Estancia(3 - Medium Confidence),feature_type_name: Domestic architecture,feature_subtype_name: Residential structure,notes: The visible features include a pattern of stone-faced terraces likely used for agriculture. The presence of angular shapes suggests some form of basic domestic structures. The orientation and distribution of these features indicate the possibility of an ancient agricultural site with residential zones characterized by rudimentary construction.
584,image: locus_5042.tif,locus_type_name: Agropastoral Infrastructure(4 - High Confidence),locus_subtype_name: Corral(4 - High Confidence),feature_type_name: Corral,feature_subtype_name: NULL,"notes: The image shows a complex of circular structures resembling corrals. These structures are grouped closely together, suggesting a corral complex or a series of enclosures used likely for livestock. The pattern of these structures is distinct and clearly visible, indicating that the area was utilized for some form of animal husbandry."
585,image: locus_12204.tif,locus_type_name: Agropastoral Infrastructure(3 - Medium Confidence),locus_subtype_name: Stone faced contour terraces(4 - High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows distinctive linear patterns suggesting furrowed crop fields characteristic of agricultural practices. The presence of straight line formations may indicate pathways or boundaries. Overall, patterns are consistent with traditional farming landscapes."
586,image: locus_18899.tif,locus_type_name: Agropastoral Infrastructure(4 - High Confidence),locus_subtype_name: Stone faced contour terraces(4 - High Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows segmented terracing patterns across the landscape, likely used for agricultural cultivation. Some structures appear to have ceremonial elements, with defined geometric patterns indicating potential human modification for public or ceremonial use."
587,image: locus_25853.tif,locus_type_name: Agropastoral Infrastructure(2 - Low Confidence),locus_subtype_name: Segmented terracing(2 - Low Confidence),feature_type_name: NULL,feature_subtype_name: NULL,"notes: The image shows a clear pattern of segmented terracing with well-defined lines illustrating the contours of the terrain. The presence of some smaller structures suggests potential domestic architecture in the vicinity. Vegetation is sparse, likely due to the landscape management for agriculture or settlement. Overall, the terracing is extensive, indicating significant human modification for either agricultural or residential purposes."
